마자, 75, 163
사가, 68, 172
나가, 64, 160
하차, 45, 154
마가, 98, 186
파라, 70, 175
가아, 79, 174
차하, 43, 175
차사, 47, 195
카아, 63, 166
라카, 42, 180
마카, 98, 177
아하, 68, 151
사아, 85, 166
타하, 44, 150
타나, 98, 190
가다, 95, 191
가라, 93, 168
하라, 80, 192
타하, 48, 169
마다, 41, 189
차다, 48, 154
다라, 64, 181
차카, 63, 176
하마, 78, 193
파파, 82, 196
사라, 45, 156
가바, 90, 161
나타, 43, 177
파자, 95, 155
하아, 92, 154
마차, 61, 188
다자, 68, 169
바아, 64, 195
마자, 89, 174
바파, 40, 198
파라, 62, 152
바나, 90, 152
가바, 82, 177
가파, 72, 194
사자, 77, 189
가사, 76, 176
자다, 70, 194
사자, 51, 165
가사, 98, 169
카가, 41, 194
사자, 55, 181
마사, 91, 170
라나, 65, 194
타파, 81, 167
가카, 41, 186
가가, 88, 157
가자, 71, 160
가자, 73, 184
파바, 68, 158
차나, 97, 184
파사, 94, 166
차차, 84, 158
가타, 53, 194
차차, 84, 196
라하, 41, 177
사마, 54, 181
하카, 82, 164
사카, 90, 151
자차, 53, 155
카타, 40, 161
가다, 95, 199
나바, 90, 173
파마, 52, 198
바차, 98, 173
다마, 98, 182
타다, 91, 194
라바, 94, 189
타카, 98, 182
나바, 55, 195
자자, 58, 151
다아, 84, 184
파라, 78, 197
자사, 40, 152
차자, 70, 189
아나, 42, 183
라사, 71, 159
사하, 72, 161
하카, 55, 188
아자, 78, 161
가카, 78, 194
카사, 59, 186
자나, 96, 185
가마, 91, 161
다하, 58, 159
차아, 56, 168
가하, 73, 191
자바, 90, 178
나차, 49, 176
카가, 57, 182
하사, 72, 175
사타, 88, 187
하타, 96, 181
바가, 78, 183
파타, 65, 157
사라, 83, 160
라라, 92, 169
파차, 57, 199
가하, 80, 162
다차, 49, 187
사사, 50, 190
바카, 52, 192
카아, 83, 166
가가, 94, 156
사라, 43, 178
아차, 93, 161
다하, 93, 158
타나, 94, 180
카마, 61, 182
아라, 51, 196
파차, 82, 193
사사, 59, 167
하타, 74, 158
자라, 42, 154
차마, 42, 197
카바, 67, 177
가가, 87, 164
가차, 96, 178
카아, 60, 152
나하, 82, 173
나아, 88, 178
파차, 53, 163
마차, 52, 151
파마, 50, 155
파사, 81, 174
카하, 75, 172
카라, 42, 185
파차, 52, 178
하마, 95, 154
사다, 67, 175
타다, 40, 199
카마, 47, 180
라나, 83, 193
하타, 91, 177
사사, 55, 172
파바, 76, 167
차마, 47, 184
파가, 48, 184
타차, 40, 164
사나, 68, 156
다라, 60, 163
마차, 63, 165
나마, 44, 156
하파, 40, 180
나라, 81, 172
바라, 81, 194
마타, 60, 183
사차, 46, 155
파라, 72, 187
타다, 60, 159
차차, 52, 159
카라, 57, 175
다가, 73, 155
바타, 47, 155
마사, 89, 189
파사, 78, 185
나차, 57, 198
카라, 75, 160
나마, 74, 184
마사, 66, 169
가차, 66, 198
파아, 82, 177
하사, 98, 169
가바, 80, 173
하카, 99, 166
나아, 90, 193
하나, 45, 192
사마, 64, 177
바다, 91, 189
바다, 47, 172
파사, 87, 191
카자, 48, 188
사자, 51, 179
자아, 95, 155
파가, 58, 178
라나, 89, 186
차나, 90, 157
타마, 43, 161
아파, 68, 161
아하, 82, 192
아파, 84, 188
사파, 78, 160
파아, 80, 154
마다, 60, 173
사타, 86, 167
카다, 76, 170
카하, 71, 193
바파, 94, 164
사아, 67, 174
타가, 82, 177
카자, 72, 153
다타, 58, 153
바자, 81, 192
라아, 83, 154
차사, 60, 157
마가, 92, 182
차사, 99, 168
타카, 96, 156
카다, 57, 152
나다, 85, 186
카라, 96, 150
가나, 56, 191
타하, 56, 187
나사, 57, 179
자가, 78, 151
마타, 70, 161
다다, 76, 199
가다, 47, 170
하하, 52, 187
아사, 71, 156
다차, 44, 179
차하, 48, 175
하바, 70, 172
자카, 90, 196
카마, 62, 170
다사, 58, 150
자다, 45, 170
가나, 75, 189
가나, 80, 167
차다, 46, 156
가하, 90, 183
사아, 92, 155
차가, 87, 189
라카, 45, 176
타나, 86, 167
파차, 43, 187
카마, 89, 168
아타, 64, 166
바하, 53, 192
사카, 91, 156
카라, 46, 174
라하, 41, 172
나라, 55, 193
사타, 68, 151
라라, 60, 168
가바, 64, 156
타하, 88, 193
사바, 44, 175
카파, 67, 150
파나, 79, 157
다가, 59, 194
바파, 62, 185
아자, 40, 159
사바, 66, 162
파가, 46, 189
타하, 72, 199
차마, 52, 170
다카, 71, 185
카마, 42, 166
하아, 95, 168
바타, 40, 157
자라, 85, 180
다파, 43, 161
다라, 46, 156
라하, 41, 160
파사, 98, 198
차가, 71, 156
나하, 64, 165
파파, 43, 171
파차, 50, 177
자다, 41, 154
차사, 63, 163
가가, 67, 174
하사, 73, 151
아가, 93, 190
가하, 71, 183
자자, 49, 197
다하, 99, 188
가라, 79, 196
아사, 40, 155
하차, 71, 168
차카, 64, 162
나라, 40, 167
아사, 76, 162
하가, 98, 199
바바, 78, 197
파다, 71, 177
가가, 78, 166
사차, 56, 190
차마, 40, 174
바바, 79, 167
하사, 58, 173
라파, 93, 153
가나, 54, 168
사자, 54, 160
가파, 94, 170
하아, 82, 158
바라, 83, 164
아파, 76, 156
라자, 50, 177
차바, 50, 175
아하, 90, 159
카카, 58, 172
파마, 44, 157
아차, 54, 162
마파, 70, 185
